Time, Batches, IOPS, MiB/s
1.051191, 19, 2103671.161749, 8073.307988
2.096491, 39, 2222625.661936, 8529.520760
3.150339, 59, 2222154.807403, 8528.970646
4.155564, 78, 2214637.011255, 8500.500310
5.204341, 98, 2230887.922820, 8562.263287
6.247210, 118, 2230943.666221, 8561.443331
7.291405, 138, 2230289.994231, 8559.209789
8.338887, 158, 2225354.990043, 8540.239589
9.383187, 178, 2218576.973041, 8513.142119
10.440783, 198, 2221901.257060, 8528.518301
11.455818, 217, 2191093.598173, 8409.986199
12.458783, 236, 2227600.363455, 8550.614107
13.470090, 255, 2194350.292164, 8421.000603
14.484493, 274, 2197406.862543, 8433.899909
15.532506, 294, 2214559.885618, 8498.541587
15.850105, 300, 2190583.531821, 8406.175581
