Time, Batches, IOPS, MiB/s
1.936297, 1, 2115.377845, 227.808395
3.016057, 2, 3793.495406, 414.436298
4.826191, 4, 4525.661171, 493.354074
6.402436, 6, 5197.199728, 567.662462
7.832792, 8, 5727.323281, 624.318676
9.165900, 10, 6145.091508, 668.029821
10.439346, 12, 6432.997033, 696.511737
11.657800, 14, 6723.329772, 746.884565
12.836082, 16, 6952.562581, 752.252085
13.986058, 18, 7123.686285, 783.086249
15.108119, 20, 7300.907323, 799.824129
16.195583, 22, 7533.189812, 815.747754
17.278172, 24, 7567.103535, 844.494029
18.342569, 26, 7696.441740, 852.972107
19.395304, 28, 7781.702809, 865.719236
20.434225, 30, 7885.170693, 857.582111
21.468028, 32, 7924.203216, 872.388304
22.495261, 34, 7974.897367, 881.160031
23.515101, 36, 8032.703284, 870.379559
24.523953, 38, 8120.191313, 862.247872
25.536644, 40, 8089.404334, 885.271674
26.547155, 42, 8106.857261, 873.844915
27.551273, 44, 8158.470611, 890.181469
28.553390, 46, 8174.765453, 870.128371
29.554203, 48, 8185.414531, 885.523708
30.561101, 50, 8135.941961, 901.751317
31.563504, 52, 8172.437856, 902.447989
32.563909, 54, 8188.752447, 904.665696
34.056597, 57, 8232.171730, 883.618727
35.552345, 60, 8215.333706, 894.322827
37.049548, 63, 8207.352520, 896.642656
38.546571, 66, 8208.337766, 900.843890
39.546598, 68, 8191.868062, 908.510087
41.037021, 71, 8244.691377, 889.680283
42.534653, 74, 8205.002829, 903.954346
44.030820, 77, 8213.037114, 916.650018
45.528259, 80, 8206.056378, 907.481370
47.019546, 83, 8239.914703, 889.096076
48.514916, 86, 8217.414408, 905.085172
50.006672, 89, 8237.315830, 900.939971
51.501322, 92, 8221.369027, 905.626753
52.988419, 95, 8263.130187, 878.090793
54.481102, 98, 8232.206580, 897.447149
55.490219, 100, 8118.059046, 898.230354
56.490813, 102, 8187.205703, 906.102946
57.986579, 105, 8215.240971, 901.495486
59.482611, 108, 8213.775524, 908.022654
60.975824, 111, 8229.284617, 904.580910
62.466690, 114, 8242.236508, 892.539729
63.957005, 117, 8245.281460, 896.509930
65.450148, 120, 8229.665043, 895.679043
66.947385, 123, 8207.175714, 887.244589
68.446712, 126, 8195.726466, 895.907273
69.449995, 128, 8165.270326, 915.518053
70.945980, 131, 8214.037732, 888.724397
71.949402, 133, 8164.137635, 921.032870
73.445239, 136, 8214.842080, 901.369128
74.941936, 139, 8210.128599, 901.262029
76.440984, 142, 8197.255124, 905.953839
77.937041, 145, 8213.637097, 899.936448
78.938514, 147, 8180.026748, 911.104754
80.441295, 150, 8176.887857, 904.202918
81.441750, 152, 8188.346949, 887.882333
82.443875, 154, 8174.703717, 898.058540
83.947491, 157, 8172.345466, 900.251557
84.947990, 159, 8187.985938, 890.770525
85.963312, 161, 8068.447222, 863.977966
86.964518, 163, 8182.201936, 903.431277
87.965666, 165, 8182.679486, 897.938016
89.463967, 168, 8201.333046, 894.331870
90.961482, 171, 8205.642230, 895.646603
91.963384, 173, 8176.513536, 910.553289
93.460405, 176, 8208.345453, 893.797579
94.960169, 179, 8193.334372, 905.643262
96.454424, 182, 8223.547634, 887.426122
97.951532, 185, 8207.868497, 901.796609
99.441035, 188, 8249.776911, 880.610673
100.443601, 190, 8171.107068, 907.593290
101.941703, 193, 8202.429603, 905.830254
103.435786, 196, 8224.488572, 898.775789
104.931954, 199, 8213.026366, 901.496093
106.427411, 202, 8216.935699, 897.910410
107.924059, 205, 8210.396510, 904.825317
109.418290, 208, 8223.673803, 906.653960
110.913297, 211, 8219.413756, 903.868382
112.409696, 214, 8211.757318, 900.200695
113.906951, 217, 8207.073900, 904.741814
115.400720, 220, 8226.219758, 893.667955
116.415068, 222, 8076.199001, 889.444228
117.907974, 225, 8230.972762, 889.967398
119.405454, 228, 8205.839953, 906.876949
120.900241, 231, 8220.613605, 902.583775
122.392606, 234, 8233.963638, 886.604517
123.887412, 237, 8220.510099, 901.658515
125.389028, 240, 8183.235444, 890.103875
126.389194, 242, 8190.711601, 893.188542
127.887868, 245, 8199.294579, 892.054937
129.385304, 248, 8206.076825, 890.547841
130.387963, 250, 8170.350524, 908.455481
131.882412, 253, 8222.477919, 888.199724
133.377935, 256, 8216.574427, 895.989409
134.875238, 259, 8206.802171, 901.283719
136.368320, 262, 8230.009404, 886.813180
137.863656, 265, 8217.600807, 897.163398
139.359930, 268, 8212.449959, 895.074788
140.854535, 271, 8221.620361, 891.027850
142.357987, 274, 8173.238152, 908.436312
143.857746, 277, 8193.363163, 892.518446
145.355036, 280, 8206.877345, 889.745898
146.372029, 282, 8055.190896, 883.866131
147.373320, 284, 8181.503336, 896.945920
148.872335, 287, 8197.428785, 896.548496
150.368031, 290, 8215.619973, 888.345994
151.862765, 293, 8220.909722, 892.055385
153.357308, 296, 8221.957921, 880.190748
154.358537, 298, 8182.022474, 910.401717
155.355056, 300, 8220.677282, 893.497215
