Time, Batches, IOPS, MiB/s
1.277685, 1, 3205.797723, 349.596081
3.049187, 3, 4624.370985, 502.547880
4.545476, 5, 5474.936166, 597.673312
5.933718, 7, 5901.089838, 637.331612
7.266290, 9, 6147.581269, 678.470499
8.557883, 11, 6342.633599, 688.804184
9.826071, 13, 6459.687752, 712.460609
11.070968, 15, 6580.564600, 723.526646
12.289508, 17, 6722.897688, 721.565316
13.525392, 19, 6628.542358, 734.504213
14.736516, 21, 6764.057429, 739.779876
15.945162, 23, 6777.921230, 742.352446
17.138972, 25, 6862.162724, 733.887801
18.328557, 27, 6886.521581, 739.216060
19.532961, 29, 6801.790958, 758.568869
20.728442, 31, 6852.569723, 755.754995
21.943041, 33, 6744.698464, 773.301211
23.131830, 35, 6891.135670, 754.103858
24.316933, 37, 6912.570809, 755.143007
25.499921, 39, 6924.925163, 749.344535
26.700290, 41, 6824.656004, 750.580105
27.881245, 43, 6936.856352, 754.452440
29.057299, 45, 6965.754161, 754.424186
30.236228, 47, 6948.766088, 750.026226
31.490962, 49, 6528.950772, 699.954237
32.675221, 51, 6917.514979, 747.240586
33.856670, 53, 6933.947641, 750.629122
35.040803, 55, 6918.225472, 757.130485
36.216027, 57, 6970.667221, 747.923342
37.396171, 59, 6941.609204, 753.072255
38.587953, 61, 6873.815404, 771.490318
39.776998, 63, 6889.639157, 749.019887
40.968014, 65, 6878.264674, 754.027847
42.164772, 67, 6845.258857, 758.697485
43.356584, 69, 6873.661374, 756.797448
44.541554, 71, 6913.374819, 755.116077
45.719805, 73, 6952.753885, 750.267008
46.896116, 75, 6964.228649, 750.325164
48.088119, 77, 6872.547012, 760.770550
49.269618, 79, 6933.646934, 750.494334
50.450369, 81, 6938.055970, 751.434369
51.634756, 83, 6916.739439, 753.213570
52.812963, 85, 6953.017863, 743.248697
53.996787, 87, 6920.023896, 759.063526
55.198421, 89, 6817.469168, 744.482064
56.389616, 91, 6877.207130, 752.208928
57.573392, 93, 6920.316057, 750.534490
58.760990, 95, 6898.041019, 755.244410
59.938504, 97, 6957.117194, 744.724056
61.190119, 99, 6545.228527, 716.576210
62.382582, 101, 6869.927862, 764.215788
63.573376, 103, 6879.528407, 761.635631
64.753675, 105, 6940.706800, 750.020757
65.951941, 107, 6836.632648, 770.409092
67.137727, 109, 6908.589166, 760.200625
68.330211, 111, 6869.806642, 760.168694
69.514001, 113, 6920.241714, 750.210262
70.698886, 115, 6913.846497, 749.604591
71.890324, 117, 6875.817976, 760.322503
73.085200, 119, 6856.025218, 763.852905
74.274042, 121, 6890.829326, 760.729836
75.448400, 123, 6975.812924, 744.717641
76.634911, 125, 6904.368190, 757.920172
77.827335, 127, 6870.128018, 763.437037
79.009709, 129, 6928.526978, 752.441114
80.199467, 131, 6885.520249, 763.494512
81.383648, 133, 6917.948449, 758.970086
82.564105, 135, 6939.767851, 750.268510
83.748623, 137, 6915.983119, 755.922692
84.950856, 139, 6814.073764, 756.779365
86.140485, 141, 6886.277927, 754.494150
87.319383, 143, 6948.960596, 748.607754
88.500303, 145, 6937.054823, 753.486582
89.684307, 147, 6918.986636, 755.747433
90.926001, 149, 6597.519322, 717.406694
92.107755, 151, 6932.175540, 768.276291
93.276915, 153, 7006.828555, 753.370650
94.450591, 155, 6979.860547, 760.277773
95.619658, 157, 7007.387236, 750.987855
96.792853, 159, 6982.723668, 756.028679
97.969380, 161, 6962.956798, 761.208697
99.149325, 163, 6942.771950, 767.335107
100.330051, 165, 6938.187308, 761.817746
101.531007, 167, 6821.328789, 779.404641
102.709673, 169, 6950.325296, 763.992150
103.882053, 171, 6987.576473, 752.788802
105.065234, 173, 6923.796968, 762.428857
106.248503, 175, 6923.275963, 756.194593
107.437764, 177, 6888.394569, 764.334973
108.613219, 179, 6969.302200, 752.946517
109.788004, 181, 6973.283354, 761.672391
110.970442, 183, 6928.144568, 771.542275
112.148107, 185, 6956.224026, 764.182494
113.327198, 187, 6947.808882, 762.819331
114.504290, 189, 6959.599914, 760.908967
115.712194, 191, 6782.068940, 742.780802
116.895975, 193, 6920.280741, 759.921199
118.068393, 195, 6987.350367, 751.160949
119.247737, 197, 6946.323214, 754.260399
120.432299, 199, 6915.719832, 751.978598
121.685031, 201, 6539.388815, 710.343171
122.870999, 203, 6907.541498, 761.314537
124.057309, 205, 6905.541188, 759.913289
125.231212, 207, 6978.517135, 750.884049
126.410379, 209, 6947.373984, 756.594360
127.589791, 211, 6945.922619, 751.758670
128.772445, 213, 6926.902882, 756.102982
129.950376, 215, 6954.650013, 754.249328
131.129638, 217, 6946.798757, 757.594715
132.312198, 219, 6927.428498, 752.598982
133.489247, 221, 6959.875287, 744.481299
134.675522, 223, 6905.734274, 763.337812
135.856472, 225, 6936.898751, 759.001929
137.035015, 227, 6951.042905, 757.193619
138.218967, 229, 6919.279610, 760.590122
139.401742, 231, 6926.171369, 758.597193
140.584143, 233, 6928.354688, 758.278516
141.761992, 235, 6955.140952, 752.735436
142.941123, 237, 6947.572397, 747.390842
144.130617, 239, 6887.083532, 756.275327
145.350223, 241, 6717.006883, 737.886907
146.543957, 243, 6862.593597, 751.379389
147.742843, 245, 6833.103718, 762.702138
148.938869, 247, 6849.446625, 754.454005
150.135951, 249, 6843.399926, 755.956309
151.400408, 251, 6478.756652, 711.328886
152.588782, 253, 6893.553808, 756.482289
153.779334, 255, 6880.945844, 757.920664
